#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BAD	MMP9	9606.ENSP00000378040	9606.ENSP00000361405	0	0	0	0	0	0	0	0.171	0.171
BAD	SYK	9606.ENSP00000378040	9606.ENSP00000364907	0	0	0	0	0	0.071	0	0.205	0.230
BAD	BCL2L11	9606.ENSP00000378040	9606.ENSP00000376943	0	0	0	0	0	0.270	0.900	0.559	0.964
BCL2L11	IL2RB	9606.ENSP00000376943	9606.ENSP00000216223	0	0	0	0	0	0	0	0.299	0.299
BCL2L11	GZMB	9606.ENSP00000376943	9606.ENSP00000216341	0	0	0	0	0	0	0	0.391	0.390
BCL2L11	NCR1	9606.ENSP00000376943	9606.ENSP00000291890	0	0	0	0	0	0	0	0.294	0.294
BCL2L11	RASGRP1	9606.ENSP00000376943	9606.ENSP00000310244	0	0	0	0	0	0	0	0.260	0.260
BCL2L11	TGFBR2	9606.ENSP00000376943	9606.ENSP00000351905	0	0	0	0	0	0.057	0	0.296	0.307
BCL2L11	MMP9	9606.ENSP00000376943	9606.ENSP00000361405	0	0	0	0	0	0	0	0.391	0.390
BCL2L11	PLAU	9606.ENSP00000376943	9606.ENSP00000361850	0	0	0	0	0	0	0	0.167	0.167
BCL2L11	TRAF1	9606.ENSP00000376943	9606.ENSP00000362994	0	0	0	0	0.062	0	0	0.377	0.391
BCL2L11	SYK	9606.ENSP00000376943	9606.ENSP00000364907	0	0	0	0	0.062	0.057	0	0.324	0.349
BCL2L11	IL2RA	9606.ENSP00000376943	9606.ENSP00000369293	0	0	0	0	0	0	0	0.318	0.318
BCL2L11	CEBPA	9606.ENSP00000376943	9606.ENSP00000427514	0	0	0	0	0	0	0	0.298	0.298
CEBPA	HHEX	9606.ENSP00000427514	9606.ENSP00000282728	0	0	0	0	0.095	0	0	0.322	0.361
CEBPA	TGFBR2	9606.ENSP00000427514	9606.ENSP00000351905	0	0	0	0	0.063	0.058	0	0.161	0.194
