#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BAD	NFKB1	9606.ENSP00000378040	9606.ENSP00000226574	0	0	0	0	0	0	0	0.185	0.185
BAD	FOS	9606.ENSP00000378040	9606.ENSP00000306245	0	0	0	0	0	0	0	0.162	0.161
BAD	FASLG	9606.ENSP00000378040	9606.ENSP00000356694	0	0	0	0	0	0	0	0.297	0.297
BAD	CASP7	9606.ENSP00000378040	9606.ENSP00000358327	0	0	0	0	0	0	0	0.297	0.297
BAD	BCL2L11	9606.ENSP00000378040	9606.ENSP00000376943	0	0	0	0	0	0.270	0.900	0.559	0.964
BCL2L11	PIK3R2	9606.ENSP00000376943	9606.ENSP00000222254	0	0	0	0	0	0	0	0.224	0.224
BCL2L11	NFKB1	9606.ENSP00000376943	9606.ENSP00000226574	0	0	0	0	0.062	0	0	0.233	0.250
BCL2L11	IRF1	9606.ENSP00000376943	9606.ENSP00000245414	0	0	0	0	0.062	0	0	0.231	0.247
BCL2L11	BLK	9606.ENSP00000376943	9606.ENSP00000259089	0	0	0	0	0	0.057	0	0.195	0.208
BCL2L11	FOS	9606.ENSP00000376943	9606.ENSP00000306245	0	0	0	0	0	0	0	0.414	0.414
BCL2L11	FASLG	9606.ENSP00000376943	9606.ENSP00000356694	0	0	0	0	0	0.385	0	0.681	0.795
BCL2L11	CASP7	9606.ENSP00000376943	9606.ENSP00000358327	0	0	0	0	0	0	0	0.623	0.623
BCL2L11	TRAF1	9606.ENSP00000376943	9606.ENSP00000362994	0	0	0	0	0.062	0	0	0.377	0.391
BCL2L11	CD274	9606.ENSP00000376943	9606.ENSP00000370989	0	0	0	0	0.062	0	0	0.341	0.355
BCL2L11	IL10	9606.ENSP00000376943	9606.ENSP00000412237	0	0	0	0	0	0	0	0.402	0.403
BLK	PIK3R2	9606.ENSP00000259089	9606.ENSP00000222254	0	0	0	0	0	0.123	0	0.073	0.153
BLK	NFKB1	9606.ENSP00000259089	9606.ENSP00000226574	0	0	0	0	0	0.120	0	0.166	0.234
BLK	CD274	9606.ENSP00000259089	9606.ENSP00000370989	0	0	0	0	0.065	0	0	0.128	0.150
BLK	IL10	9606.ENSP00000259089	9606.ENSP00000412237	0	0	0	0	0	0.060	0	0.247	0.261
BLK	FOS	9606.ENSP00000259089	9606.ENSP00000306245	0	0	0	0	0	0.064	0	0.249	0.267
BLK	TRAF1	9606.ENSP00000259089	9606.ENSP00000362994	0	0	0	0	0.126	0.099	0	0.371	0.462
CASP7	NFKB1	9606.ENSP00000358327	9606.ENSP00000226574	0	0	0	0	0.087	0.090	0	0.284	0.353
CASP7	IRF1	9606.ENSP00000358327	9606.ENSP00000245414	0	0	0	0	0.063	0	0	0.261	0.277
CASP7	FOS	9606.ENSP00000358327	9606.ENSP00000306245	0	0	0	0	0	0	0	0.240	0.239
CASP7	FASLG	9606.ENSP00000358327	9606.ENSP00000356694	0	0	0	0	0	0	0.900	0.561	0.954
CASP7	CD274	9606.ENSP00000358327	9606.ENSP00000370989	0	0	0	0	0.085	0	0	0.142	0.181
CASP7	IL10	9606.ENSP00000358327	9606.ENSP00000412237	0	0	0	0	0	0	0	0.242	0.241
CASP7	TRAF1	9606.ENSP00000358327	9606.ENSP00000362994	0	0	0	0	0	0	0	0.282	0.282
CD274	NFKB1	9606.ENSP00000370989	9606.ENSP00000226574	0	0	0	0	0.125	0	0	0.172	0.245
CD274	IRF1	9606.ENSP00000370989	9606.ENSP00000245414	0	0	0	0	0.185	0	0	0.529	0.601
CD274	FOS	9606.ENSP00000370989	9606.ENSP00000306245	0	0	0	0	0.051	0	0	0.212	0.220
CD274	FCAR	9606.ENSP00000370989	9606.ENSP00000347714	0	0	0	0	0	0	0	0.155	0.155
CD274	FASLG	9606.ENSP00000370989	9606.ENSP00000356694	0	0	0	0	0.062	0	0	0.661	0.668
CD274	TRAF1	9606.ENSP00000370989	9606.ENSP00000362994	0	0	0	0	0.161	0	0	0.211	0.310
CD274	TNFSF14	9606.ENSP00000370989	9606.ENSP00000469049	0	0	0	0	0.062	0	0	0.292	0.307
CD274	IL10	9606.ENSP00000370989	9606.ENSP00000412237	0	0	0	0	0.062	0	0	0.825	0.829
CTSH	IL10	9606.ENSP00000220166	9606.ENSP00000412237	0	0	0	0	0	0	0	0.163	0.163
FASLG	NFKB1	9606.ENSP00000356694	9606.ENSP00000226574	0	0	0	0	0	0.270	0	0.283	0.454
FASLG	IRF1	9606.ENSP00000356694	9606.ENSP00000245414	0	0	0	0	0.069	0	0	0.310	0.330
FASLG	FOS	9606.ENSP00000356694	9606.ENSP00000306245	0	0	0	0	0	0	0	0.391	0.390
FASLG	TNFSF14	9606.ENSP00000356694	9606.ENSP00000469049	0	0	0	0.700	0.069	0	0	0.325	0.151
FASLG	TRAF1	9606.ENSP00000356694	9606.ENSP00000362994	0	0	0	0	0	0	0	0.391	0.390
FASLG	IL10	9606.ENSP00000356694	9606.ENSP00000412237	0	0	0	0	0.062	0	0	0.684	0.690
FCAR	IL10	9606.ENSP00000347714	9606.ENSP00000412237	0	0	0	0	0.088	0	0	0.325	0.358
FOS	PIK3R2	9606.ENSP00000306245	9606.ENSP00000222254	0	0	0	0	0	0.144	0	0.146	0.237
FOS	NFKB1	9606.ENSP00000306245	9606.ENSP00000226574	0	0	0	0	0.049	0.225	0	0.516	0.612
FOS	IRF1	9606.ENSP00000306245	9606.ENSP00000245414	0	0	0	0	0.063	0	0	0.466	0.478
FOS	TRAF1	9606.ENSP00000306245	9606.ENSP00000362994	0	0	0	0	0	0.244	0	0.358	0.494
FOS	IL10	9606.ENSP00000306245	9606.ENSP00000412237	0	0	0	0	0	0.105	0	0.533	0.564
IL10	NFKB1	9606.ENSP00000412237	9606.ENSP00000226574	0	0	0	0	0	0	0	0.506	0.506
IL10	IRF1	9606.ENSP00000412237	9606.ENSP00000245414	0	0	0	0	0.070	0	0	0.635	0.646
IL10	TRAF1	9606.ENSP00000412237	9606.ENSP00000362994	0	0	0	0	0.062	0	0	0.365	0.378
IL10	TNFSF14	9606.ENSP00000412237	9606.ENSP00000469049	0	0	0	0	0.091	0	0	0.334	0.369
IRF1	NFKB1	9606.ENSP00000245414	9606.ENSP00000226574	0	0	0	0	0.155	0.213	0	0.517	0.651
IRF1	TNFSF14	9606.ENSP00000245414	9606.ENSP00000469049	0	0	0	0	0.108	0	0	0.122	0.183
IRF1	TRAF1	9606.ENSP00000245414	9606.ENSP00000362994	0	0	0	0	0.108	0	0	0.322	0.370
NFKB1	PIK3R2	9606.ENSP00000226574	9606.ENSP00000222254	0	0	0	0	0.057	0.101	0	0.179	0.243
NFKB1	TNFSF14	9606.ENSP00000226574	9606.ENSP00000469049	0	0	0	0	0.062	0	0	0.215	0.232
NFKB1	TRAF1	9606.ENSP00000226574	9606.ENSP00000362994	0	0	0	0	0.130	0.070	0.900	0.473	0.951
TNFSF14	TRAF1	9606.ENSP00000469049	9606.ENSP00000362994	0	0	0	0	0.059	0	0	0.161	0.176
