Trait	nSNP	overall_p	mscomp
20002_1065_Neale_UKBB_1	558	6.09774335286237e-10	PC2 (3e-05)
20002_1065_PanUKBB_PanUKBBR1_1	566	2.6874066903256e-15	PC2 (8e-07)
20002_1066_Neale_UKBB_1	558	0.805500576644593	PC3 (1e-01)
20002_1066_PanUKBB_PanUKBBR1_1	566	0.475957297154423	PC3 (3e-02)
20002_1067_Neale_UKBB_1	558	0.295733312088188	PC1 (3e-02)
20002_1067_PanUKBB_PanUKBBR1_1	566	0.112248729508868	PC11 (5e-02)
20002_1072_Neale_UKBB_1	558	0.203329761917472	PC10 (2e-02)
20002_1072_PanUKBB_PanUKBBR1_1	566	0.383698337907117	PC5 (6e-02)
20002_1074_Neale_UKBB_1	558	0.0647268467775769	PC12 (1e-02)
20002_1074_PanUKBB_PanUKBBR1_1	566	0.077702328941473	PC12 (1e-02)
20002_1075_Neale_UKBB_1	558	0.387520016552753	PC1 (1e-02)
20002_1075_PanUKBB_PanUKBBR1_1	566	0.0838051251702319	PC1 (3e-03)
20002_1076_Neale_UKBB_1	558	0.612605840537153	PC12 (7e-02)
20002_1076_PanUKBB_PanUKBBR1_1	566	0.491237037852517	PC5 (4e-02)
20002_1077_Neale_UKBB_1	558	0.476051197354102	PC2 (8e-02)
20002_1077_PanUKBB_PanUKBBR1_1	566	0.603804904162332	PC8 (2e-01)
20002_1078_Neale_UKBB_1	558	0.18508400427403	PC13 (1e-01)
20002_1078_PanUKBB_PanUKBBR1_1	566	0.103011831029003	PC1 (9e-03)
20002_1079_Neale_UKBB_1	558	0.928427941151962	PC6 (2e-01)
20002_1079_PanUKBB_PanUKBBR1_1	566	0.403333964375282	PC6 (4e-02)
20002_1080_Neale_UKBB_1	558	0.891774608400071	PC9 (2e-01)
20002_1080_PanUKBB_PanUKBBR1_1	566	0.97019898457885	PC8 (3e-01)
20002_1081_Neale_UKBB_1	558	0.137026118148468	PC5 (2e-03)
20002_1081_PanUKBB_PanUKBBR1_1	566	0.115377465544088	PC5 (2e-03)
20002_1082_Neale_UKBB_1	558	0.209337034787636	PC4 (2e-02)
20002_1082_PanUKBB_PanUKBBR1_1	566	0.305090464918243	PC8 (2e-02)
20002_1083_Neale_UKBB_1	558	0.983376591548328	PC7 (2e-01)
20002_1083_PanUKBB_PanUKBBR1_1	566	0.775840493162789	PC7 (4e-02)
20002_1086_Neale_UKBB_1	558	0.643431269452492	PC9 (5e-02)
20002_1086_PanUKBB_PanUKBBR1_1	566	0.328995257438298	PC9 (2e-02)
20002_1087_Neale_UKBB_1	558	0.835860926108482	PC3 (4e-02)
20002_1087_PanUKBB_PanUKBBR1_1	564	0.836526273048305	PC3 (9e-02)
20002_1093_Neale_UKBB_1	558	0.42952029918262	PC11 (5e-02)
20002_1093_PanUKBB_PanUKBBR1_1	566	0.645030099985811	PC13 (1e-01)
20002_1094_Neale_UKBB_1	558	0.0667580228062546	PC8 (2e-02)
20002_1094_PanUKBB_PanUKBBR1_1	566	0.022675181697188	PC8 (1e-03)
20002_1111_Neale_UKBB_1	558	1.51678153273263e-321	PC13 (6e-253)
20002_1111_PanUKBB_PanUKBBR1_1	566	0	PC13 (2e-272)
20002_1112_Neale_UKBB_1	558	0.00618518009695133	PC13 (8e-05)
20002_1112_PanUKBB_PanUKBBR1_1	566	0.00154836283099982	PC13 (1e-05)
20002_1113_Neale_UKBB_1	558	0.000332837928559994	PC4 (3e-03)
20002_1113_PanUKBB_PanUKBBR1_1	566	5.88721448291666e-05	PC13 (9e-05)
20002_1114_Neale_UKBB_1	558	0.0126383802677948	PC13 (5e-04)
20002_1114_PanUKBB_PanUKBBR1_1	566	0.000602321106599785	PC13 (4e-05)
20002_1115_Neale_UKBB_1	558	0.702711417611867	PC12 (8e-02)
20002_1115_PanUKBB_PanUKBBR1_1	566	0.904013899013067	PC6 (1e-01)
20002_1117_Neale_UKBB_1	558	0.241932752102527	PC11 (2e-02)
20002_1117_PanUKBB_PanUKBBR1_1	566	0.314718931847195	PC12 (7e-02)
20002_1120_Neale_UKBB_1	558	0.487377089939158	PC8 (3e-02)
20002_1120_PanUKBB_PanUKBBR1_1	566	0.267086275985818	PC11 (1e-02)
20002_1121_PanUKBB_PanUKBBR1_1	566	0.0488727001385058	PC11 (4e-02)
20002_1123_Neale_UKBB_1	558	0.246234379022363	PC1 (4e-02)
20002_1123_PanUKBB_PanUKBBR1_1	566	0.366223989901888	PC1 (3e-02)
20002_1125_Neale_UKBB_1	558	0.128852578460591	PC13 (2e-02)
20002_1125_PanUKBB_PanUKBBR1_1	566	0.270954763304534	PC9 (6e-02)
20002_1126_Neale_UKBB_1	558	0.132726190467356	PC2 (2e-02)
20002_1126_PanUKBB_PanUKBBR1_1	566	0.0879801833201613	PC2 (8e-03)
20002_1134_Neale_UKBB_1	558	0.97339433179772	PC8 (2e-01)
20002_1134_PanUKBB_PanUKBBR1_1	566	0.789964278228685	PC2 (6e-02)
20002_1135_Neale_UKBB_1	558	0.0629430024585871	PC12 (7e-04)
20002_1135_PanUKBB_PanUKBBR1_1	566	0.0787673792255086	PC12 (1e-03)
20002_1136_Neale_UKBB_1	558	0.0498533807637743	PC10 (5e-03)
